"POST_TITLE","POST_CONTENT"
"To ask the police why they are on my road?","I’m single and live alone on the ground floor. I live in a very, very quiet area (rural countryside, my village has <500 people in it). Crime rate is very low and I feel safe here. Rarely see or hear of any trouble. Tonight there is a police car parked right outside my house, behind a civilian car it seems. The lights are flashing on the police car. It’s dark and not street lit so I can’t see much of what’s going on, and my Ring doorbell is out of range to pick up on what they’re saying. Because I’m alone and on the ground floor it’s really freaking me out. It’s been going on for about 40 minutes. Would I BU to contact the non emergency police number and ask what’s going on? I wouldn’t ask for details but even just to know what type of crime they’re here for would maybe (or maybe not) put my mind at ease. I’ve got a busy day at work tomorrow and it’s really stressing me out 😔"
"AIBU about this London birthday gig present situation?","Compared to other threads, this is all very first-world problems but I feel like I've lost all perspective on this so please let me know if IABU. I found out a few days ago that my favourite band is playing a one-off gig in London this month - the day after my birthday. They were on hiatus for many years, but they played a small comeback gig in Scotland (where I live) earlier this year, and which my DP and I attended and loved. For info, I've been to almost every gig they've ever played in my city, always with DP, and I've loved them for decades. So when I learned they were playing the day after my birthday, I thought it was a total no-brainer as a birthday present. Nothing else would have lived up to it. Especially as we actually travelled several years ago to Ireland for my birthday, where and when the band played a gig. I thought we could make a mini-break out of it in London, like we'd done in Ireland. Easy. But my DP is Not Keen at all. He says there's no point, that we've already seen the band this year. They're releasing a new album soon, so in all likelihood will be touring next year with a good chance of being in our city again. He says there'll be too much rushing around for trains, that the venue is in an awkward place to get out of time-wise, if the gig ends at 11pm and our train is at 11.45pm. It'll be expensive if we also stay overnight, there'll be too much walking around in the cold to kill time, and taking time off work might be an issue. Frankly, he's been a workaholic all year - not really his fault, he's been placed on a big project at work - but we haven't been on holiday, and did nothing for a milestone anniversary. I thought this plan could rectify all of these things by giving us a mini-holiday. I've never seen London at Christmas. So I said, well, if we're staying overnight, we'll do something special the next day that you want to do. Every time we've gone down to London before, because it's such a trek, we usually see two shows/attractions, one for each of us. So he took a look online but said nothing appeals. I just don't think he enjoys London. He says he only went to the Ireland gig because he'd never been to Ireland before. He said he'd have been more likely to go to this gig if the band had announced a one-off gig in Berlin or somewhere we've never been. By now, I'm very exasperated. This is my favourite band, this is my ideal present, nothing else would compare frankly. So I say fine, I'll go down by myself. This alarms DP. He says that if I went down on my own for my birthday, then he would feel incredibly guilty and he should be there with me to celebrate. I shrug and tell him that sounds more like his problem. He's now very sad and having a bit of an existential crisis over it, says it's all he's been thinking about. I don't think he'd forgive himself if I went down alone, but also... I just want to see the band?? And if we both went down, I have a feeling he'd be so stressed about travel that he wouldn't make it the most enjoyable experience. So now we're at a sort of stalemate. DP and I very rarely disagree on things and usually manage to hash something out. I don't know if I'm doing the equivalent of screaming I WANT A PONY and should get over myself, especially as DP only had a modest cinema/restaurant birthday this year, or if I should just LTB, etc. Maybe the tickets will sell out first and we won't have to make a decision??"
"Are emojis only for old people?","I was babysitting my niece yesterday and we got onto a discussion about mobile phones etc. She then said her and her friends only really use symbols when texting. Things like: :) <3 These I remember doing years and years ago, before emojis came along. I asked her about emojis and she said no one really uses them anymore, that she only really likes the heart ones and never a laughing face, only the crying with laughter face. I felt pretty old after that conversation, I’d it just me and I didn’t notice?"
"I need to end it, but I don't want to","I've been in a situationship with a lovely man for the past 3-4 months. We started out casual and were both dating other people, but recently we both stopped seeing anyone else - not because we decided to be exclusive, but just because it worked out that way. We are still casual. The problem is that I've caught feelings. He is gorgeous, funny, very kind. I trust him and feel safe with him. He's considerate, likes to talk and communicate. We have absolutely mindblowing sex - like, beyond amazing. So I suppose it's no surprise that I've started to feel like I want more from him. But I know that I don't really want more. He's younger than me and we are at different stages in our lives. He wants a wife and kids. I'm menopausal. That's not the only difference between us, but it's the main one. There are also things I don't like about him. He spent two hours one evening monologuing at me about his hobby (I nearly died of boredom) and he can be pedantic at times. He usually has to be right (although he never gaslights or speaks unkindly. He just thinks he's right about basically everything.) So he definitely has faults that annoy me. Also we live about two hours away from one another and I don't want an LTR. I know he likes and cares about me, but I think if he said he wanted a relationship with me (he doesn't), I'd probably say no. But for whatever reason, I feel so much for him and it's getting to the point now that I feel so sad when I know I won't see him for a while, and I get upset if he doesn't text for a day or so, even though I will often take a couple of days to message him. I feel like I have to end things because I'm undoubtedly going to get very hurt and there is literally no future for us, unless I'm happy to carry on in this way until it fizzles out. I would miss the sex, which is honestly the best I've ever had, and I doubt it will ever be this good with anyone again. And I would miss his tenderness and his funny, unique way of looking at the world. Someone talk some sense into me, please! How do I walk away when it's so good between us? Edited"
"To wonder how Vernon Kay got away with it?","""In 2010, Kay was forced to apologise to his wife after it was revealed in the British press that he had been sending sexually explicit text and social media messages to model Rhian Sugden every day for four months. Later on, he admitted to sending similar messages to ""four or five"" other women at the same time."" (From Wikipedia). I was just wondering about it as I have him on the radio working at home today. We would all have been telling Tess to LTB on here. I actually don't think he did anything physical with any of them, but I wouldn't have stayed with him."
"Emergency advice needed, relative's life depends on it","I'm sorry to be posting here but I'm in such desperate need of advice that I need the traffic. I'm also sorry it's long. My grandmother has had a government funded place in a care home for the last four years. She is kept there under a DOLs following having been sectioned for self-neglect as a result of a combination of severe mental health issues triggered by Alzheimer's (and now, four years later, the Alzheimer's has started to progress). She has never had an estate or assets to pay for care and we as a family don't possess the means either. Her behaviour over the four years has admittedly been challenging at times (rudeness, biting, etc) but DGM is <5' and genuinely not a physically intimidating person, even if she can be difficult. However her behaviour as she's deteriorated both physically and mentally, so over the last 18 or so months, has improved and she is mostly co-operative with the care home staff nowadays with some encouragement. As far as we have been made aware, her care needs up until the last couple of months were mostly showering and encouragement to keep sanitary. She has only very recently required assistance with changing her own pads (we don't know if she doesn't recognise or doesn't care when she sitting in mess). She was fully mobile and didn't require any special diets. A few weeks ago we were alerted that she hadn't appeared herself and hadn't eaten, however we weren't told until end of play on the third day that this was occurring. We said we wanted her to see the GP the following day as a matter of urgency, and the GP prescribed antibiotics for a UTI. The home were calling my DM on a daily basis saying DGM was refusing to take her tablets or drink, as well as still refusing to eat. DM was going over daily and getting her to drink at least a cup of water and take her tablets without much difficulty, just a lot of prompting. The staff said they didn't have time to sit and prompt her to drink. On the fourth day they called my DM and said DGM suddenly couldn't swallow fluids and that they'd called 999 because they were concerned she might choke. My DM took emergency leave and raced over there, to find no issues with her swallowing, no signs of a stroke, etc. DM had told the home she was prepared to take DGM to A&E herself due to the ambulance wait times, and so before DM even got there, the home had cancelled the ambulance. DM called me while she was there as my partner is a paramedic, and the staff outrightly refused to speak to him saying they didn't care what he had to say and wanted her to go to A&E. There was also a doctor from the surgery at the home when the swallowing difficulty occurred and the home reported that the GP refused to see DGM because ""she'd be assessed at hospital"". DM ended up taking her. On assessment at A&E, they found urine burns so severe that they immediately safeguarded the home and made an in patient referral to one of the dermatology teams. They said they'd never seen damage like it. She has since been kept in hospital on IV antibiotics for the UTI. They have also had SALT in who have advised DGM appears to be having difficulty swallowing food which is why she hasn't always been eating and now requires a softer diet. A few days ago they declared her fit for discharge, however the home said they wanted to make an assessment first. DM asked what they meant and they said they needed to see whether she required a hospital bed and whatnot first, fine. However last night they called DM to say they refuse to have her back on the basis she now needs nursing care, and that was that. Having to stay in hospital for a prolonged period of time whilst another care facility is found, and then the upheaval of moving to a new home/unfamiliar environment is legitimately going to kill DGM. I know what you're probably thinking, ""why would you want her to go back to somewhere that let her get to that state?"" and whilst I do completely agree that their care was, at least on this occasion, awful, I am also aware of how difficult a change in routine is for DGM's mental state. The hospital were going to discharge her with District Nurse support as well as regular SALT input/review and OT. We are in shock that the home can refuse to have someone back when no alternative plan is in place, and thus she can be left in hospital unnecessarily. We believe the safeguarding made against them and the complaint my DM has made about the whole situation has basically made them not want her back now. We genuinely don't even know where to start with getting help now. We don't know who to call to find her somewhere else because she is public funded, we don't know if there's anyone we can call who is able to force them to take her back temporarily with additional external support in place, we don't know if we should be phoning someone like the CQC or a solicitor or something as the impression we've been given my the hospital is her UTI likely stemmed from the same circumstances that lead to huge skin damage from urine burns. Please help with any experience/signposting."
"LL wanting to put rent up - Twat!","This is the 5th house ive lived in with a shit back door. They are aaaaaall unusual sizes, of course! I swear LL's must think we're fucking stupid, maybe we are! Its the faux surprise... YOU FUCKING KNOW THE DOOR IS SHIT....why are you just now, 30 odd years after owning the house realizing it might need fucking replacing. Don't get me started on the 80% of the double glazing that has blown - most with broken latches, the hall way full of black mold, the stair carpet that was fitted by monkies, the frayed carpet at EVERY door way, no extractor in the bathroom - more black mold. The stain on the kitchen ceiling from a leak (not our fault) 2 years ago Outside tap broken, inside tap dripping 2 ltrs a day, over flowing guttering and the back fence has just blown down. Also the fact we offered more rent each month at the beginning of our tenancy as we were desperate to secure the property, and we are STILL waiting for our new TA since the renting regulations changed in Wales last year. Txt this morning to say he was putting rent up by £50 from next month. I know I'm not unreasonable, hes a twat and I just needed to rant. I've rented all my life, will never own, late 40's and two teens and I'm just sick of being treated like shite by moneygrabbing bastards! I"
"Stay or go?","In my early 50s - partner is 6 years older. We met on OLD and have been together for 5 months. He is great company, we laugh a lot together, fancy each other and have a good, active sex life. We are compatible in terms of career, interests, finances - both of us are fit and healthy, have good circle of friends, grown up children (some still at home but v independent and plan to move out in next couple of years). Most importantly I believe he is honest and genuine. My last two LTRs ended badly when I found out that they were fundamentally dishonest/unfaithful so this is an incredibly attractive trait for me. My problem is that he is very closed down emotionally. He has told me that he likes me a lot, but that’s as far as it goes. He struggles to be affectionate outside of the bedroom and I feel that we are almost FWB (although we are exclusive). I am yearning for more intimacy and am starting to feel quite sad and low. We have talked about this and he has reassured me that he has ‘strong feelings’ for me but that it takes him a long time to open up and he wants to let the relationship continue and develop. I’m left feeling like I have to jump through some invisible hoop - I’m not sure what else he wants or needs from me - we both know each other pretty well by now. On one hand, I respect his need to take things at his own pace and not feel pressured or rushed into any sort of commitment - obviously at our age we both have histories/baggage. On the other hand, I am not expecting to move in together or get married, but just need to feel cared for and loved. I feel quite tearful writing this as it’s obviously a deep need and I don’t think it’s excessive or unreasonable. Most of my friends think I should cut my losses and move on. However, I know that he is a decent guy and that there aren’t actually that many of them out there - I do really like him but can’t bear feeling like this. Any advice / experiences appreciated. At present I’m thinking that I’ll give it till Christmas but today I’m having a bad day and not sure I can last that long."
"DH’s crisis of masculinity","Trying to get a better understanding of my DH’s outlook. I really don’t want any brash LTB comments because our relationship is generally good. We’ve been together 10 years and I’ve always been the higher earner. Sometimes much higher sometimes only slightly. My job has more career progression and I have worked hard to climb up. DH is more limited, it’s construction sector and depends on seasons, he dips in and out of sole trader and contracted worker so it varies. It is something he has only brought up over the past couple of years that he can feel emasculated that I earn more. That he is the man and he should be the main provider for the family. In a conversation over dinner tonight he’s stated that men aren’t happy unless they are providing for a family. I said he does provide for his family and works very hard and the fact my job happens to pay more is no reflection on him. Would he be happier to have a housewife and us have less money coming in and less of a comfortable life? No he said. so I don’t know what the issue is or where this comes from. I used to think he was proud of me, he used to like telling people what I do and that I’m good at my job. Similarly I am proud of him and tell people so. He used to be my biggest cheerleader but now he seems to see my career has some insult to his ‘masculinity’. He also sees himself as the ‘protector’ of the household. And has bared grudges against my DD17 having a boyfriend in the house like it’s some sort of threat. And when our car was vandalised in the street a little while back (and we knew who it was) he felt his role as ‘protector’ was undermined as I insisted we dealt with it through the right channels rather than the ways he wanted to which were illegal. I have one DD who lives with us and he has 50/50 care of his 2 DDs. There are a lot of women around, is that it? Is there not enough testosterone in our house? He’s great with the girls he does all manner activities from letting them paint his nails and make perfumes to teaching them to fish and play football. He’s really strong on education for them and doing well at school and have careers so I just don’t know where it comes from. to be honest I find it hard not to find it all a bit pathetic but I love this man very much and so I try where I can to respect how he feels. But I can’t see a solution to it or how things could be different. I have considered whether he is having some sort of mental health crisis. Another factor is that he does now work with very, what I would call, ‘blokey blokes’ and the whether that’s an influence. it makes me sad that he seems to take issue with something I am proud of. I was a very young Mum and a single mum for a long time and I worked hard to be independent and provide for me and my DD. It was at times very tough and its a big part of who I am, he knows that. I used to think it was one of the things he loved about me 😞 Sorry that’s long, but I don’t have many people I could let that out to in IRL and would be interested in thoughts or others experiences"
"Husband says he's 'very unsatisfied' with sex life","He says I don't make an effort. He feels like he has to persuade me for sex. And example... I asked him for a massage then we can have sex and used a timer purely because otherwise he will massage for 30 seconds then say he wants to have sex and I need warming up more. He says our sex life very vanilla and feels functional as opposed to sexual and he feels like my housemate instead of DH. Please don't want to hear LTB this is a genuine issue and I'd rather try and fix than walk away from my marriage. Any suggestion please or been through similar anyone?"
"Is the bar set too high if you're single?","I read so many posts on MN telling women to set their bar higher. I often wonder if these posters who cry LTB are single or not. I have friends in my life telling me i should ditch my current man, as my bar is apparently too low. Editted to add that they think the bar is too low as he can ditch me last minute occasionally; neither he nor his ex wife can be arsed to complete their divorce paperwork 5 years on; he can be a bit grumpy at times; he can put a negative spin on things sometimes where there isn't one; he doesn't really initiate us seeing each other, it's mostly me doing that. These friends have been married 10yrs+. I listen to their whinges and whines about their husbands but apparently that doesn't mean their bar is too low. I've had a 20yr marriage which ended because he cheated. The 3 significant relationships I've had since, my bar is/was too low on 2 of them according to MN/friends. The 3rd was too effusive in his affections and needed too much TLC, so I ended it. I'm sticking with the current guy, as I like having someone to do things with. I like messaging through the day with him. I tolerate the annoyances, because he's a good companion. I prefer being with him to being single. I enjoy holidaying, going to the theatre, eating out by myself. But I enjoy them more with company. My very few single friends rarely want to join me. My multiple married friends always have plans at weekends. The things I do with the current guy, my friends wouldn't be up for joining me at. And I love sex. A vibe is just not the same. So, I choose to stick with my apparently low bar man until this magical man, aged 40-55, who meets all the high criteria society say I should look for comes along. YABU- Respect yourself sister and stay single until that great man appears YANBU - It's better to have a low bar partner to do things with than be single. Stop listening to the people in couples/single woman with little interest in living a full on social life Edited"
"DH obsessed with ex and now I am attracted to her, AIBU?","So DH and I started as a holiday romance, well, he was a glam widower on holiday and I was working. Hot sunny Euro locale, instant attraction. My friends warned me with words like 'He's a Tory voter' 'He has a country place FFS' 'What about the age gap,' but honestly, girls can be jealous. Anyway we got married and returned from honeymoon to his swanky house 'Mumblesey' by the sea in the south west. Servants and the whole shebang. I was a little intimidated but determined to make a go of things. Only to find out he is obsessed with his ex, 'Becks'. Everything is the way she left it, her writing paper, her raincoats with her handkerchiefs in the pocket, her bloody bedroom set up for her and some crazy twat of a housekeeper who brought Becks up and also seems obsessed. DH goes all cold and grim and sinister when Becks is mentioned. And then I found out. I was led to believe Becks was DEAD and from DH's reactions I was beginning to think he'd murdered her! Then one evening walking by the shore I went into this old boathouse... and there she was. Smoky eyes, lithe figure, one hand in her pocket and the other one holding a cigarette. I was instantly attracted. She began to rant about how DH was so conventional and strait-laced and homophobic and a priggish boring wanker who only cared about his posh house and reputation, and she'd had to leave and move into the boathouse. She was obviously bisexual and, well, she stirred me to my depths. I haven't acted on this yet but the more time I spend in the boathouse the more I am attracted to her and not to DH. Thoughts? YABU: You can't shag your husband's ex, however smoky her eyes are. Shame on you. YANBU: Shag away, my darling, let yourself be thrilled to your very depths, and BTW, LTB."
"What fresh hell is this maths GCSE question?","Please can someone help? We have textbooks for the GCSE syllabus, teacher has not been helpful explaining this to my daughter- I don't remember this from school either- Work out an estimate for the value of √63.5 <->0.17"
"AIBU to be having a good Xmas day","No tears, no dramas, no ruined turkey, no A&E crises. I feel like I'm the only one on MN to not be death staring my MIL or about to LTB. Merry xmas to everyone, whether it's going well or gone to shit"
"I have a fever and DH has gone out on a jolly after riling up the kids","He's been away for almost 3 weeks with work (and been able to tag on visiting friends in the locale at the same time), he's come back, and now is straight out on a jolly. Kids are 3yo and 7m. When he got back from his trip he left a massive pile of washing outside our laundry cupboard. I ignored it. He moved it inside the laundry cupboard. I ignored it. Even my 3yo knows to put their clothes in the laundry basket at the end of the day. He asked why I hadn't done his washing. I told him because the washing basket was empty. Arse. I'm so tired and run down I can't even think straight and left my bag on the bus earlier. I'm running a fever and ache to the core. He riled up the 3yo and made all sorts of promises about outings that I would take them on today (whilst ill, in the sodding rain). Then he went on his jolly. Did I mention I am unwell? He's in the spare room tonight. No help with baby night wakings is better than expecting help with baby night wakings and receiving none. I know there is a lot of underlying resentment. I'm not going to drip feed the rest of my 'he's a knob' woes. There's too many! I probably should LTB. Just need to vent. Send hot chocolate and hot water bottles. Edited"
"Feel guilty I can't treat DP","First time poster so go easy please! This might sound like a daft problem and I probably just need telling to sort myself out (!) but bear with me... I have been with DP for 18 months and everything has been great. We own our own homes but see each other most nights after work and weekends. I get on brilliantly with his daughter, we're on the same page when it comes to sex, finances, work ethics, morals, family values etc. Everything just feels so easy with him. The ONLY thing which plays on my mind is that, from what I know about his exes (one marriage and 2 LTR), he has only been with women who are either really wealthy (come from money) or have extremely well paid jobs so he has been used to living the high life. Just for clarity, he doesn't really talk about any of this but I knew him through work for a long time before we were a couple so I am aware of the life he's led, nice holidays, cars etc. I'm not sure how he ended up with these women btw as he's just a regular bloke and certainly not materialistic or money orientated! By comparison I have a 2 bed terrace and work in a regular, ok-ish paid job. We both earn similar amounts of money (he used to earn a lot more but took a pay cut to get a better work / life balance). He helps me out a bit financially as we tends to stay at mine more than at his. He tells me - and I know - that he is happier with me and more content than he ever has been in his life and never, ever compares or even talks about his previous relationships. If I ever I mention feeling bad about not being able to buy him something he tells me I'm being ridiculous and he wouldn't trade what he has now for anything. I know he's telling the truth but - I think it comes from growing up without money - I can't help feeling inferior to his exes and wanting to be able to buy him the things he has been used to before?! I know I need to chill out and just be grateful for what I have and stop torturing myself! But how do I stop the comparisons?!"
"I just resolved yesterday to stop spending money like water...","I'm a fairly comfortably off recent widow (my own job, nothing to do with being widowed, that all went to DC) who has spent the last couple of years building a new life. ""Company"" when you're single costs money in a way that it doesn't when you're part of an established couple. E.g you go out for coffee /drinks/food/cinema rather than vegging on the sofa together. Also I've developed new hobbies that cost money and taken on some personal challenges, I'm just back from a week's adventure on my own. Anyway, I resolved on my way home that I really must have a few months of not spending so much. Not becuase I can't afford it but because with inflation etc and never knowing what's round the corner. Then I met some friends for breakfast (already failing at the first hurdle) whosr pretty much opening remark was ""are you coming to <event in interesting European city I've never been to> with us?"" I'm rubbish at this 😆"
"Child in hospital they want to discharge her but I feel uncomfortable","7 year old tested positive for covid last Wednesday, has been really unwell since then with high temp, sore throat and general unwellness Admitted to hospital last night with non blanching rash and given first dose of antibiotic for meningitis intramuscular Loads of attempts to get blood it was barbaric and eventually managed it in the early hours lt was so upsetting and she was in agony and terrified Most bloods back ok but cultures will take up to 48 hours They are encouraging me to take her home whilst we wait, but that will mean her having to be recanulated if we have to come back in the mean time she’s spiking 39 temp again, so poorly and not eaten more than tiny amounts in a week and only having sips of fluids. She vomited again overnight also Aibu to want to stay? I feel uncomfortable taking her home this unwell but they are saying they are convinced it’s only viral (Covid) and haven’t even checked the rash today! (It has faded but still not blanching)"
"Help! Confused, so many arguments","Help! I don't know what's real or not any more. I'm in a relationship with my partner, we've been together about 4 years, but have been struggling in the last couple of years. I really wanted to make it work, but we keep arguing. Over nothing. Over silly things. He always makes out I'm the problem, too stressed, that I've started it, either through picking an argument or not responding in the right way to something he's said. Either way it feels like it's always my fault. In the last year or so he keeps having this series of big dramatic moments where he'll storm out of the room calling me names and then sulks upstairs. When I've gone up to try and resolve things (trying to be the mature one and the peacemaker, and to see his side) he's generally vile and everything gets thrown back in my face and he attacks me verbally and makes me feel like absolutely crap. Sometimes I've taken it, because I've reflected and thought perhaps I have been the difficult one, but the arguments/conversations have nearly broken me at times. I had some PTSD and emotional/trust issues after getting out of an abusive relationship a few years ago, and then I was in a difficult/stressful job which made me wonder if my behaviour and mood had been challenging for him to deal with and I was the cause of the problems... maybe I am? We had another argument today. I had a really tough day in a new job and just wanted to talk/have some support at the end of the day, but it was really hard to engage him and I felt he wasn't listening. And so we fell out, he stormed off etc etc. Spoke to him and he said he's been deliberately spending less and less time with me, that he's always on edge around me, always biting his tongue. That I'm like a bomb waiting to go off. That he'd taken more than he can take at Christmas. He basically presented himself as this loving boyfriend/victim who has been so supportive but endured so much from me. I tried to defend myself and argue against some of these things which I felt weren't true, but in the end I had to leave the room as I just felt so hurt by what he was saying, and felt generally unlovable Anyway, he keeps doing this every few weeks/months.....I don't understand....if I'm that awful why not just leave? It hadn't occured to me before, but today I thought is this some deliberate tactics to keep me on my toes and knock my confidence, so I feel like he may leave at any time, and to give him the upper hand? Or am I just really difficult and volatile like he makes out? I'm so confused and my head is spinning. Any thoughts/advice is welcome. I'm too emotionally involved to see things clearly. I read my post back and realise it really doesn't sound great and that there might be quite a bit of LTB. Perhaps I should, unless it's me being the issue and he's just at his wits end with me? Please help."
"Crush on younger man","I’m 42 and really fancy a 23 year old I know through a hobby I do. I don’t know if I have no chance or even if he likes me but I do keep thinking about him. There’s a bit of flirting but I don’t know how to approach anything else! How do I work out if he likes me or just thinks I’m way too old for him! is the age gap just too much to have any hope? im not really looking for anything serious having just come out of an ltr but just wondering how to ascertain if he’s interested without making an absolute fool of myself or if it’s just a non starter with that sort of age gap"
"To think this should have more media coverage and political support?","How many women are bringing up their children without any financial input from the other parent? How many women are fighting the CMS system because their child’s father is self employed/Ltd Company Director/job hopping. How many absent fathers are asked in news reports, “where are you with regards to financial support for your child? Yet, regardless they will retain all parental legal rights to their child. If over 90% of resident parents (mothers) opted out of financial support for their children, the children would be in care, and the mothers would be in jail. Is it time that fathers who very clearly, and wilfully, and criminally avoid financially supporting their children should face much tougher penalties. Surely that brings some sort of equality to parenting? Bad news – but Gingerbread will fight on! POSTED 15 DECEMBER 2023 Today, the court has ruled in the case on the Child Maintenance Service (CMS) that we have been involved with. We’re sorry to say it’s not good news. The case was brought by a group of single parents and the children of single parents. Together they argued that problems with the CMS are causing them “significant and prolonged financial difficulties”. They argued that the way the CMS operates, including the insufficient enforcement of payment obligations against non-resident parents, was discriminatory and unlawful. They also argued that the Government needed to better support victim-survivors of domestic abuse in running the CMS. We had hoped to see significant reform of the CMS as a result of the case. But we’re incredibly disappointed that today, the judge ruled in favour of the Government and agreed with them that the way the system is being operated is lawful. Gingerbread got involved with the case to share our expertise and knowledge. We hear day in, day out from single parents who tell us that they are owed thousands of pounds from their child’s other parent. All too often they tell us that the CMS is failing to put enforcement action in place. And what’s worse, we hear from single parents who say the system is allowing their ex-partner to perpetuate economic abuse. We also know that: 140,000 children are not receiving a penny of the maintenance they are legally entitled to since 2012, when the CMS began, £590.6 million in unpaid maintenance has accumulated if child maintenance were paid in full to all children in separated families living in poverty who currently do not receive financial support from their other parent, it would have the potential to lift 60% of them out of poverty. We believe that there’s something seriously wrong with a Child Maintenance Service that leaves so many children without the support they deserve. It’s clear that we have an uphill struggle to change the system. Right now, we’re looking ahead to the next election. . We’ve been talking to all political parties about the need to reform the CMS. But we know that there are other issues which matter to single parents too. We’re running a survey on what our priorities should be . We’re asking single parents to tell us what matters to them, so we can make sure your voice is heard! We’re also about to start a new project researching the challenges of the CMS and developing with single parents clear recommendations for reform. This will help us make the case for change with any new Government. More information will be available on this in the new year."
"To be SO frustrated by threads like this…","First of all I want to make it crystal clear that I am not frustrated with the OPs of these threads, I am frustrated for them. I don’t blame them one bit. There seems to be a steady stream of threads that go something like this: OP: Asks if she is being unreasonable then describes the situation whereby it is indisputable that it’s in fact her DH / DP who is being unreasonable. PPs: With their spidey senses tingling as they detect potential gaslighting / narcissism / manipulation / abuse / coercive control / fuckwittery, ask OP for more details and also ask what the DH is usually like, and reassure OP unanimously that she is not being unreasonable. OP: Gives more background info and history that confirms that PPs were correct, there is a pattern of abuse / fuckwittery and/or a whole childhood full of neglect / abuse - meaning that OP is completely brainwashed and browbeaten and believes that this behaviour is normal and she cannot trust her gut and has to put up with it (and so do her kids). PPs: Rally round OP, explaining (again, unanimously) that OP does not need to endure the abuse / mistreatment / misery for one day longer and would be completely justified in LTB no matter what he says. Suggest if she cannot find the strength to leave for herself, them do it for her children who deserve to live happily and have good role models - advice to break generational cycles. OP: Is terrified at the idea, due to having zero self esteem, no support, or having been gaslit and manipulated to within an inch of her life into believing she needs DH to survive and won’t find anyone else, can’t afford to leave etc and is convinced she and her kids are trapped. PPs: give reassurance that OP can LTB. Give OP details of practical, real life support agencies, websites, Women’s Aid, Freedom Programme, books, scripts for what to say to police / DH, advice on legal aid for solicitors, getting ducks in a row, securing important documents, confide in real life friends or family etc etc OP: Starts backtracking and offering examples of how her DH is not that bad / is a good dad / might be depressed or ND / can be really nice to her sometimes / always apologises etc. PPs: Continue to reassure OP that her relationship is toxic / abusive and damaging her and her kids and there are ways to leave and support out there. OP: Never returns to the thread, perhaps deciding that their bar is lower than they realised and they are doomed to this life. Very occasionally, the OP will return to confirm that they have found the strength to leave, have taken PPs’ advice, called Woman’s Aid or a solicitor, and have ended the relationship. These threads are so satisfying, PPs rejoice that OP has taken their advice and changed her life for the better, one less abused woman! One more single shitty man. Amazing. But they are the minority. What are we doing when girls are raised to be compliant, nice, submissive, people pleasing ghosts? How do we raise girls to be sure of their value, have high standards and expectations, unwavering instincts and the confidence to listen to them, and to refuse to put up with this toxic bullshit from men? How do we raise boys to have integrity, to see girls as human beings, to be non violent, unselfish, compassionate people? I am so frustrated on behalf of all the OPs out there who, despite unanimous, practical and compassionate support on MN, cannot appreciate their value or raise that bar for what they will tolerate from a man? I don’t blame the OPs one bit - I blame their parents, previous partners, and society. It’s utterly heartbreaking. AIBU?"
